jz,jx,exact_energy,p,minimum,iterations,time,nfev
0,"[0.18026969 0.01947524 0.46321853 0.72493393 0.4202036  0.4854271
 0.01278081 0.48737161]","[0.94180665 0.85079509 0.72996447 0.10873607 0.89390417 0.85715425
 0.16508662 0.        ]",-0.6786121498126896,1,-0.6321657913944305,7872,24.906538009643555,10258
0,"[0.18026969 0.01947524 0.46321853 0.72493393 0.4202036  0.4854271
 0.01278081 0.48737161]","[0.94180665 0.85079509 0.72996447 0.10873607 0.89390417 0.85715425
 0.16508662 0.        ]",-0.6786121498126896,2,-0.6696224309835868,21173,114.27400732040405,25508
0,"[0.18026969 0.01947524 0.46321853 0.72493393 0.4202036  0.4854271
 0.01278081 0.48737161]","[0.94180665 0.85079509 0.72996447 0.10873607 0.89390417 0.85715425
 0.16508662 0.        ]",-0.6786121498126896,3,-0.6702300711980642,72897,534.4450302124023,83883
0,"[0.18026969 0.01947524 0.46321853 0.72493393 0.4202036  0.4854271
 0.01278081 0.48737161]","[0.94180665 0.85079509 0.72996447 0.10873607 0.89390417 0.85715425
 0.16508662 0.        ]",-0.6786121498126896,4,-0.6710416784099782,61287,612.7236678600311,69040
0,"[0.18026969 0.01947524 0.46321853 0.72493393 0.4202036  0.4854271
 0.01278081 0.48737161]","[0.94180665 0.85079509 0.72996447 0.10873607 0.89390417 0.85715425
 0.16508662 0.        ]",-0.6786121498126896,5,-0.6785945539192292,181543,2238.6903800964355,200553
0,"[0.18026969 0.01947524 0.46321853 0.72493393 0.4202036  0.4854271
 0.01278081 0.48737161]","[0.94180665 0.85079509 0.72996447 0.10873607 0.89390417 0.85715425
 0.16508662 0.        ]",-0.6786121498126896,6,-0.6730664255518775,226612,3260.9930331707,246915
0,"[0.18026969 0.01947524 0.46321853 0.72493393 0.4202036  0.4854271
 0.01278081 0.48737161]","[0.94180665 0.85079509 0.72996447 0.10873607 0.89390417 0.85715425
 0.16508662 0.        ]",-0.6786121498126896,7,-0.676335314463484,329381,5224.361233949661,356567
0,"[0.18026969 0.01947524 0.46321853 0.72493393 0.4202036  0.4854271
 0.01278081 0.48737161]","[0.94180665 0.85079509 0.72996447 0.10873607 0.89390417 0.85715425
 0.16508662 0.        ]",-0.6786121498126896,8,-0.6779687284779617,335697,6388.923192739487,360566
