jz,jx,exact_energy,p,minimum,iterations,time,nfev,njev
0,"[0.18026969 0.01947524 0.46321853 0.72493393 0.4202036  0.4854271
 0.01278081 0.48737161]","[0.94180665 0.85079509 0.72996447 0.10873607 0.89390417 0.85715425
 0.16508662 0.        ]",-0.6786121498126896,1,-0.6321004280749758,35,28.204349517822266,39,39
0,"[0.18026969 0.01947524 0.46321853 0.72493393 0.4202036  0.4854271
 0.01278081 0.48737161]","[0.94180665 0.85079509 0.72996447 0.10873607 0.89390417 0.85715425
 0.16508662 0.        ]",-0.6786121498126896,2,-0.6700543302882396,153,64.06134271621704,160,160
0,"[0.18026969 0.01947524 0.46321853 0.72493393 0.4202036  0.4854271
 0.01278081 0.48737161]","[0.94180665 0.85079509 0.72996447 0.10873607 0.89390417 0.85715425
 0.16508662 0.        ]",-0.6786121498126896,3,-0.670166173424211,237,109.69350552558899,251,251
0,"[0.18026969 0.01947524 0.46321853 0.72493393 0.4202036  0.4854271
 0.01278081 0.48737161]","[0.94180665 0.85079509 0.72996447 0.10873607 0.89390417 0.85715425
 0.16508662 0.        ]",-0.6786121498126896,4,-0.6786104096657004,135,173.37268328666687,138,138
0,"[0.18026969 0.01947524 0.46321853 0.72493393 0.4202036  0.4854271
 0.01278081 0.48737161]","[0.94180665 0.85079509 0.72996447 0.10873607 0.89390417 0.85715425
 0.16508662 0.        ]",-0.6786121498126896,5,-0.6786099379222539,123,239.06484007835388,126,126
0,"[0.18026969 0.01947524 0.46321853 0.72493393 0.4202036  0.4854271
 0.01278081 0.48737161]","[0.94180665 0.85079509 0.72996447 0.10873607 0.89390417 0.85715425
 0.16508662 0.        ]",-0.6786121498126896,6,-0.6786118289649364,235,339.32186555862427,247,247
0,"[0.18026969 0.01947524 0.46321853 0.72493393 0.4202036  0.4854271
 0.01278081 0.48737161]","[0.94180665 0.85079509 0.72996447 0.10873607 0.89390417 0.85715425
 0.16508662 0.        ]",-0.6786121498126896,7,-0.678611194679451,121,449.72367310523987,126,126
0,"[0.18026969 0.01947524 0.46321853 0.72493393 0.4202036  0.4854271
 0.01278081 0.48737161]","[0.94180665 0.85079509 0.72996447 0.10873607 0.89390417 0.85715425
 0.16508662 0.        ]",-0.6786121498126896,8,-0.678610212802056,171,564.8571734428406,176,176
